asin,title,author,narrator,runtime_minutes,runtime_hours,price_usd,star_rating,review_count,value_score,cost_per_hour_usd,credit_worth_ratio,worth_using_credit,categories,cover_image_url,detail_page_url
B003ZWFO7E,The Way of Kings,Brandon Sanderson,"Kate Reading, Michael Kramer",2730,45.50,38.99,4.8,52034,5.60,0.86,2.61,Yes,Fantasy | Epic Fantasy | Fiction,https://m.media-amazon.com/images/I/51hAwcG3oNL._SL500_.jpg,https://www.amazon.com/dp/B003ZWFO7E
B00546SXO0,East of Eden,John Steinbeck,Richard Poe,1523,25.38,22.69,5.0,1539,5.59,0.89,1.52,Yes,Fiction | Classic | Historical Fiction,https://m.media-amazon.com/images/I/51Tur5WAoAL._SL500_.jpg,https://www.amazon.com/dp/B00546SXO0
B0718Z5K4C,Oathbringer,Brandon Sanderson,"Kate Reading, Michael Kramer",3060,51.00,42.99,4.7,39800,5.58,0.84,2.88,Yes,Fantasy | Epic Fantasy | Fiction,https://m.media-amazon.com/images/I/51+YovOwdoL._SL500_.jpg,https://www.amazon.com/dp/B0718Z5K4C
B004QISZN6,The Wise Man's Fear,Patrick Rothfuss,Nick Podehl,2520,42.00,34.99,4.6,41900,5.52,0.83,2.34,Yes,Fantasy | Fiction,https://m.media-amazon.com/images/I/51f2XSzLauL._SL500_.jpg,https://www.amazon.com/dp/B004QISZN6
B0FXHVK4Y8,It,Stephen King,Steven Weber,2760,46.00,39.99,4.7,48300,5.41,0.87,2.67,Yes,Horror | Fiction,https://m.media-amazon.com/images/I/61ogAHYXN0L._SL500_.jpg,https://www.amazon.com/dp/B0FXHVK4Y8
B075KKRQPP,The City of Brass,S. A. Chakraborty,Soneela Nankani,1201,20.02,17.17,4.5,305,5.25,0.86,1.15,Yes,Fantasy | Historical Fiction | Fiction,https://m.media-amazon.com/images/I/51RwVew8KkL._SL500_.jpg,https://www.amazon.com/dp/B075KKRQPP
B0036NQ9Z8,A Storm of Swords,George R.R. Martin,Roy Dotrice,2340,39.00,34.99,4.7,71800,5.24,0.90,2.34,Yes,Fantasy | Epic Fantasy | Fiction,https://m.media-amazon.com/images/I/51YCCrh6jML._SL500_.jpg,https://www.amazon.com/dp/B0036NQ9Z8
B002UZMLXM,The Name of the Wind,Patrick Rothfuss,Nick Podehl,1650,27.50,24.99,4.7,47800,5.17,0.91,1.67,Yes,Fantasy | Fiction,https://m.media-amazon.com/images/I/61Csiq-T2hL._SL500_.jpg,https://www.amazon.com/dp/B002UZMLXM
B002UZMLXM,The Name of the Wind,Patrick Rothfuss,Nick Podehl,1650,27.50,24.99,4.7,47800,5.17,0.91,1.67,Yes,Fantasy | Fiction,https://m.media-amazon.com/images/I/61Csiq-T2hL._SL500_.jpg,https://www.amazon.com/dp/B002UZMLXM
B002UZKIBO,A Clash of Kings,George R.R. Martin,Roy Dotrice,2280,38.00,33.99,4.6,62100,5.14,0.89,2.27,Yes,Fantasy | Epic Fantasy | Fiction,https://m.media-amazon.com/images/I/61tt727Of0L._SL500_.jpg,https://www.amazon.com/dp/B002UZKIBO
B002V5CWOY,Jane Eyre,Charlotte Brontë,Juliet Stevenson,1153,19.22,17.00,4.5,219,5.09,0.88,1.14,Yes,Classic | Romance | Fiction,https://m.media-amazon.com/images/I/51IsnmpzPrL._SL500_.jpg,https://www.amazon.com/dp/B002V5CWOY
B0057POQJE,A Dance with Dragons,George R.R. Martin,Roy Dotrice,2640,44.00,38.99,4.5,53700,5.08,0.89,2.61,Yes,Fantasy | Epic Fantasy | Fiction,https://m.media-amazon.com/images/I/51ULknUkH9L._SL500_.jpg,https://www.amazon.com/dp/B0057POQJE
B005UR3VFO,11/22/63,Stephen King,Craig Wasson,1905,31.75,28.99,4.6,32100,5.04,0.91,1.94,Yes,Science Fiction | Time Travel | Fiction,https://m.media-amazon.com/images/I/51b3MJwd2YL._SL500_.jpg,https://www.amazon.com/dp/B005UR3VFO
