asin,title,author,narrator,runtime_minutes,runtime_hours,price_usd,star_rating,review_count,value_score,cost_per_hour_usd,credit_worth_ratio,worth_using_credit,categories,cover_image_url,detail_page_url
B004G7VN04,"Guns, Germs, and Steel",Jared Diamond,Doug Ordunio,960,16.00,19.99,4.4,27800,3.52,1.25,1.34,Yes,History | Non-Fiction | Science,https://m.media-amazon.com/images/I/51Oi+FcrkKL._SL500_.jpg,https://www.amazon.com/dp/B004G7VN04
PENDING_0004,Insurgent,Veronica Roth,,1020,17.00,20.28,4.2,2327,3.52,1.19,1.36,Yes,Young Adult | Dystopian | Fiction,,
B01N4DCBK6,Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari,Derek Perkins,840,14.00,17.99,4.5,21900,3.50,1.29,1.20,Yes,History | Non-Fiction | Science,https://m.media-amazon.com/images/I/412a-nmrw8L._SL500_.jpg,https://www.amazon.com/dp/B01N4DCBK6
FINAL_0003,The Story of Philosophy,Will Durant,,1080,18.00,20.55,4.0,804,3.50,1.14,1.37,Yes,Non-Fiction | Philosophy | History,,
B00V95QQXA,The Intelligent Investor Rev Ed.,Benjamin Graham,Luke Daniels,1068,17.80,22.94,4.5,422,3.49,1.29,1.53,Yes,Business | Finance | Self-Help,https://m.media-amazon.com/images/I/41apexh1AhL._SL500_.jpg,https://www.amazon.com/dp/B00V95QQXA
B0DJH9WJ23,The Road to Tender Hearts,Annie Hartnett,Mark Bramhall,708,11.80,16.97,5.0,722,3.48,1.44,1.14,Yes,Apocalyptic | Fiction | Horror,https://m.media-amazon.com/images/I/512voK9-8wL._SL500_.jpg,https://www.amazon.com/dp/B0DJH9WJ23
FINAL_0008,Can Hurt Me,David Goggins,,720,12.00,14.86,4.3,3168,3.47,1.24,0.99,No,Self-Help | Memoir | Psychology,,
B0F1DQ52N6,The Stone Sky,N.K. Jemisin,Robin Miles,840,14.00,18.99,4.7,12100,3.46,1.36,1.27,Yes,Fantasy | Science Fiction | Fiction,https://m.media-amazon.com/images/I/61NTtQuCllL._SL500_.jpg,https://www.amazon.com/dp/B0F1DQ52N6
B0C9V5SLQQ,Iron Flame,Rebecca Yarros,"Rebecca Soler, Teddy Hamilton",840,14.00,18.99,4.7,68200,3.46,1.36,1.27,Yes,Fantasy | Romance | Young Adult | Fiction,https://m.media-amazon.com/images/I/61ECOUEnoTL._SL500_.jpg,https://www.amazon.com/dp/B0C9V5SLQQ
FINAL_623742001,Salems Lot,Stephen King,,1080,18.00,21.34,4.1,1101,3.46,1.19,1.43,Yes,Horror | Supernatural | Fiction,,
0593457579,The Love Hypothesis,Ali Hazelwood,"Callie Dalton, Teddy Hamilton",711,11.85,15.45,4.5,1055,3.45,1.30,1.03,Yes,Romance | Contemporary | Fiction,https://m.media-amazon.com/images/I/51ABnrQIg1L._SL500_.jpg,https://www.amazon.com/dp/0593457579
FINAL_0001,Ready Player Two,Ernest Cline,,1140,19.00,23.10,4.2,1263,3.45,1.22,1.55,Yes,Science Fiction | Cyberpunk | Fiction,,
B0036NDRG2,The Girl with the Dragon Tattoo,Stieg Larsson,Simon Vance,1020,17.00,21.99,4.4,38900,3.40,1.29,1.47,Yes,Mystery | Thriller | Fiction,https://m.media-amazon.com/images/I/51OWqvPJDFL._SL500_.jpg,https://www.amazon.com/dp/B0036NDRG2
B00Y1HN2QC,To Kill a Mockingbird,Harper Lee,Sissy Spacek,720,12.00,16.99,4.8,72100,3.39,1.42,1.14,Yes,Literary Fiction | Classic | Fiction,https://m.media-amazon.com/images/I/51Tu-BTfewL._SL500_.jpg,https://www.amazon.com/dp/B00Y1HN2QC
B07FSNSLZ1,Where the Crawdads Sing,Delia Owens,Cassandra Campbell,720,12.00,16.99,4.8,86400,3.39,1.42,1.14,Yes,Literary Fiction | Mystery | Fiction,https://m.media-amazon.com/images/I/51MnNmMUHhL._SL500_.jpg,https://www.amazon.com/dp/B07FSNSLZ1
B072359S7K,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Alma Cuervo, Julia Whelan, Robin Miles",720,12.00,16.99,4.8,68500,3.39,1.42,1.14,Yes,Historical Fiction | Literary Fiction | Fiction,https://m.media-amazon.com/images/I/51aJaxiNQ0L._SL500_.jpg,https://www.amazon.com/dp/B072359S7K
B002V8MTJ4,Oliver Twist,Charles Dickens,Martin Jarvis,977,16.28,21.63,4.5,30,3.39,1.33,1.45,Yes,Fiction | Classic | Literary Fiction,https://m.media-amazon.com/images/I/51JdX6IbQyL._SL500_.jpg,https://www.amazon.com/dp/B002V8MTJ4
B0DPG76K67,"(PDF) Dog Vaccination Record Pet Passport And Medical Record Book:: dog vaccination record log book Puppies Vaccine Log Book, Dog Health Notebook, Dog ... Reminder Book, 120 Pages 6'x9' INCHES Ki",Nicholas Sparks,,780,13.00,15.96,4.1,3306,3.34,1.23,1.07,Yes,Romance | Contemporary | Fiction,,https://www.amazon.com/dp/B0DPG76K67
B002V0KKHK,A Confederacy of Dunces,John Kennedy Toole,Barrett Whitener,812,13.53,16.26,4.0,813,3.33,1.20,1.09,Yes,Fiction | Humor | Classic,https://m.media-amazon.com/images/I/51oQT7IzWwL._SL500_.jpg,https://www.amazon.com/dp/B002V0KKHK
B0773Z4GB6,A Tale of Two Cities,"Charles Dickens, Simon Callow - introduction",Simon Callow,900,15.00,20.30,4.5,386,3.33,1.35,1.36,Yes,Fiction | Classic | Historical Fiction,https://m.media-amazon.com/images/I/51EXuEOQIiL._SL500_.jpg,https://www.amazon.com/dp/B0773Z4GB6
B002V8H0S4,The Kite Runner,Khaled Hosseini,Khaled Hosseini,720,12.00,16.99,4.7,48900,3.32,1.42,1.14,Yes,Historical Fiction | Literary Fiction | Fiction,https://m.media-amazon.com/images/I/51sBgt64NIL._SL500_.jpg,https://www.amazon.com/dp/B002V8H0S4
B075F8MBMQ,Educated,Tara Westover,Julia Whelan,720,12.00,16.99,4.7,72800,3.32,1.42,1.14,Yes,Biography | Memoir | Non-Fiction,https://m.media-amazon.com/images/I/41goWDE1PUL._SL500_.jpg,https://www.amazon.com/dp/B075F8MBMQ
0593412702,The Body Keeps the Score,Bessel van der Kolk,Sean Pratt,780,13.00,17.99,4.6,22400,3.32,1.38,1.20,Yes,Psychology | Health | Non-Fiction,https://m.media-amazon.com/images/I/41ubqX+ZoAL._SL500_.jpg,https://www.amazon.com/dp/0593412702
B0BVD25SYT,Fourth Wing,Rebecca Yarros,"Rebecca Soler, Teddy Hamilton",720,12.00,16.99,4.7,95100,3.32,1.42,1.14,Yes,Fantasy | Romance | Young Adult | Fiction,https://m.media-amazon.com/images/I/61DeDp4b3GL._SL500_.jpg,https://www.amazon.com/dp/B0BVD25SYT
B0GRCYHW97,A Court of Thorns and Roses,Sarah J. Maas,Jennifer Ikeda,780,13.00,17.99,4.6,72400,3.32,1.38,1.20,Yes,Fantasy | Romance | Young Adult | Fiction,https://m.media-amazon.com/images/I/41f1gzVyhPL._SL500_.jpg,https://www.amazon.com/dp/B0GRCYHW97
B077B41FSH,Life of Pi,Yann Martel,Rajiv Surendra,769,12.82,17.35,4.5,1,3.32,1.35,1.16,Yes,Literary Fiction | Adventure | Fiction,https://m.media-amazon.com/images/I/51WtfxItudL._SL500_.jpg,https://www.amazon.com/dp/B077B41FSH
B0D6X4PVBZ,Circe,Madeline Miller,Perdita Weeks,660,11.00,15.99,4.8,26800,3.30,1.45,1.07,Yes,Fantasy | Mythology | Historical Fiction | Fiction,https://m.media-amazon.com/images/I/51PB-IQNi0L._SL500_.jpg,https://www.amazon.com/dp/B0D6X4PVBZ
B002V0RK78,A Thousand Splendid Suns,Khaled Hosseini,Atossa Leoni,660,11.00,15.99,4.8,43200,3.30,1.45,1.07,Yes,Historical Fiction | Literary Fiction | Fiction,https://m.media-amazon.com/images/I/61OcTZgtrbL._SL500_.jpg,https://www.amazon.com/dp/B002V0RK78
B0D6P455PH,The Hunger Games,Suzanne Collins,Carolyn McCormick,684,11.40,15.99,4.6,65200,3.28,1.40,1.07,Yes,Young Adult | Dystopian | Fiction,https://m.media-amazon.com/images/I/41oFuJ88q6L._SL500_.jpg,https://www.amazon.com/dp/B0D6P455PH
B002VA9U0S,Emotional Intelligence,Daniel Goleman Ph.D.,Barrett Whitener,812,13.53,16.48,4.0,371,3.28,1.22,1.10,Yes,Self-Help | Psychology | Business,https://m.media-amazon.com/images/I/51eYN7dRy2L._SL500_.jpg,https://www.amazon.com/dp/B002VA9U0S
B00354ZSS2,Neverwhere,Neil Gaiman,Neil Gaiman,780,13.00,17.99,4.5,19200,3.25,1.38,1.20,Yes,Fantasy | Urban Fantasy | Fiction,https://m.media-amazon.com/images/I/41yNdwUu5PL._SL500_.jpg,https://www.amazon.com/dp/B00354ZSS2
B008OLF29Q,The Shining,Stephen King,Campbell Scott,720,12.00,16.99,4.6,41200,3.25,1.42,1.14,Yes,Horror | Fiction,https://m.media-amazon.com/images/I/513x+J9aAHL._SL500_.jpg,https://www.amazon.com/dp/B008OLF29Q
B0035FVJQQ,The Immortal Life of Henrietta Lacks,Rebecca Skloot,"Cassandra Campbell, Bahni Turpin",720,12.00,16.99,4.6,21400,3.25,1.42,1.14,Yes,Science | Biography | Non-Fiction,https://m.media-amazon.com/images/I/51UD4Yxj6rL._SL500_.jpg,https://www.amazon.com/dp/B0035FVJQQ
B002V5HAL4,The 7 Habits of Highly Effective People,Stephen R. Covey,Stephen R. Covey,780,13.00,17.99,4.5,34600,3.25,1.38,1.20,Yes,Self-Help | Business | Non-Fiction,https://m.media-amazon.com/images/I/51OuvCFwyZL._SL500_.jpg,https://www.amazon.com/dp/B002V5HAL4
B081B7JM9F,Little Women,Louisa May Alcott,"Emily Bauer, Laura Dern, Lauren Fortgang, Allison Hiroto, Carly Robins, Suzanne Toren",735,12.25,16.96,4.5,546,3.25,1.38,1.13,Yes,Fiction | Classic | Young Adult,https://m.media-amazon.com/images/I/51uhxLrvMiL._SL500_.jpg,https://www.amazon.com/dp/B081B7JM9F
B002V8N9VG,Speaker for the Dead,Orson Scott Card,"David Birney, Stefan Rudnicki",848,14.13,19.57,4.5,952,3.25,1.38,1.31,Yes,Science Fiction | Space Opera | Fiction,https://m.media-amazon.com/images/I/51fZOp-2C9L._SL500_.jpg,https://www.amazon.com/dp/B002V8N9VG
B07KKMNZCH,Can't Hurt Me,David Goggins,"David Goggins, Adam Skolnick",660,11.00,15.99,4.7,56200,3.23,1.45,1.07,Yes,Self-Help | Biography | Non-Fiction,https://m.media-amazon.com/images/I/51TNypSYkoL._SL500_.jpg,https://www.amazon.com/dp/B07KKMNZCH
B002V1M6IA,For Whom the Bell Tolls,Ernest Hemingway,Campbell Scott,977,16.28,22.67,4.5,559,3.23,1.39,1.52,Yes,Fiction | Classic | Literary Fiction,https://m.media-amazon.com/images/I/51amkiVsz9L._SL500_.jpg,https://www.amazon.com/dp/B002V1M6IA
B00W8DCTJ2,"The Long Way to a Small, Angry Planet",Becky Chambers,Patricia Rodriguez Rodriguez,941,15.68,22.02,4.5,33,3.21,1.40,1.47,Yes,Science Fiction | Space Opera | Fiction,https://m.media-amazon.com/images/I/51NZWHPhklL._SL500_.jpg,https://www.amazon.com/dp/B00W8DCTJ2
B00ANPX7IE,Me Before You,Jojo Moyes,"Susan Lyons, Anna Bentink, Steven Crossley, Alex Tregear, Andrew Wincott, Owen Lindsay",880,14.67,20.63,4.5,2313,3.20,1.41,1.38,Yes,Romance | Contemporary | Fiction,https://m.media-amazon.com/images/I/41RcepPXgpL._SL500_.jpg,https://www.amazon.com/dp/B00ANPX7IE
B002V1NG16,The Golden Compass,Philip Pullman,"Philip Pullman, Joanna Wyatt, Rupert Degas, Alison Dowling, Douglas Blackwell, Jill Shilling, Stephen Thorne, Sean Barrett, Garrick Hagon, John O'Connor, Susan Sheridan, Full Cast",633,10.55,14.82,4.5,807,3.20,1.40,0.99,No,Young Adult | Fantasy | Fiction,https://m.media-amazon.com/images/I/51i0iVxL0LL._SL500_.jpg,https://www.amazon.com/dp/B002V1NG16
B002V5D34W,Hyperion,Dan Simmons,"Marc Vietor, Allyson Johnson, Kevin Pariseau, Jay Snyder, cast",720,12.00,16.99,4.5,24600,3.18,1.42,1.14,Yes,Science Fiction | Space Opera | Fiction,https://m.media-amazon.com/images/I/51F+q5aqJML._SL500_.jpg,https://www.amazon.com/dp/B002V5D34W
B07DHS7PP5,21 Lessons for the 21st Century,Yuval Noah Harari,Derek Perkins,780,13.00,17.99,4.4,14500,3.18,1.38,1.20,Yes,History | Non-Fiction | Philosophy,https://m.media-amazon.com/images/I/31Dp7Y5crzL._SL500_.jpg,https://www.amazon.com/dp/B07DHS7PP5
B09CHBJYZC,Throne of Glass,Sarah J. Maas,Elizabeth Evans,720,12.00,16.99,4.5,38900,3.18,1.42,1.14,Yes,Fantasy | Young Adult | Fiction,https://m.media-amazon.com/images/I/41rONy0q1OL._SL500_.jpg,https://www.amazon.com/dp/B09CHBJYZC
B0D63FJ2ZK,1984,George Orwell,Simon Prebble,660,11.00,15.99,4.6,58700,3.16,1.45,1.07,Yes,Classic | Dystopian | Science Fiction | Fiction,https://m.media-amazon.com/images/I/514COylmqRL._SL500_.jpg,https://www.amazon.com/dp/B0D63FJ2ZK
B00IZGD864,All the Light We Cannot See,Anthony Doerr,Zach Appelman,660,11.00,15.99,4.6,47200,3.16,1.45,1.07,Yes,Historical Fiction | Literary Fiction | Fiction,https://m.media-amazon.com/images/I/51yYP57jLzL._SL500_.jpg,https://www.amazon.com/dp/B00IZGD864
B0752ZQR33,Why We Sleep,Matthew Walker,Steve West,660,11.00,15.99,4.6,19800,3.16,1.45,1.07,Yes,Health | Science | Non-Fiction,https://m.media-amazon.com/images/I/51-zooqOoeL._SL500_.jpg,https://www.amazon.com/dp/B0752ZQR33
B002V8KTYG,Born to Run,Christopher McDougall,Fred Sanders,660,11.00,15.99,4.6,14200,3.16,1.45,1.07,Yes,Sports | Non-Fiction,https://m.media-amazon.com/images/I/51mSNTKUBML._SL500_.jpg,https://www.amazon.com/dp/B002V8KTYG
B007EZKMP2,The Song of Achilles,Madeline Miller,Frazer Douglas,600,10.00,14.99,4.7,22100,3.14,1.50,1.00,Yes,Fantasy | Mythology | Historical Fiction | Fiction,https://m.media-amazon.com/images/I/61DfFK65gwL._SL500_.jpg,https://www.amazon.com/dp/B007EZKMP2
0593507533,Lessons in Chemistry,Bonnie Garmus,Miriam Rutherford,600,10.00,14.99,4.7,42900,3.14,1.50,1.00,Yes,Literary Fiction | Historical Fiction | Fiction,https://m.media-amazon.com/images/I/41tCNqHzHfL._SL500_.jpg,https://www.amazon.com/dp/0593507533
B008NB9GIU,The Handmaid's Tale,Margaret Atwood,Claire Danes,660,11.00,15.99,4.5,35900,3.10,1.45,1.07,Yes,Dystopian | Science Fiction | Literary Fiction | Fiction,https://m.media-amazon.com/images/I/51WR0HyEu9L._SL500_.jpg,https://www.amazon.com/dp/B008NB9GIU
PENDING_0003,In the Woods,Tana French,,1140,19.00,24.54,4.0,3029,3.10,1.29,1.64,Yes,Mystery | Thriller | Fiction,,
PENDING_0005,The Scorch Trials,James Dashner,,1080,18.00,22.79,3.9,2429,3.08,1.27,1.52,Yes,Young Adult | Dystopian | Fiction,,
B09SS8STH8,Carrie Soto Is Back,Taylor Jenkins Reid,Julia Whelan,600,10.00,14.99,4.6,16700,3.07,1.50,1.00,Yes,Literary Fiction | Sports | Fiction,https://m.media-amazon.com/images/I/41NlVbDci1L._SL500_.jpg,https://www.amazon.com/dp/B09SS8STH8
B0B5M28HZK,Edgedancer,Brandon Sanderson,Kate Reading,660,11.00,16.99,4.7,15200,3.04,1.54,1.14,Yes,Fantasy | Fiction,https://m.media-amazon.com/images/I/51xoSh3ZbOL._SL500_.jpg,https://www.amazon.com/dp/B0B5M28HZK
B005HIR9VI,The Night Circus,Erin Morgenstern,Jim Dale,720,12.00,16.99,4.3,21400,3.04,1.42,1.14,Yes,Fantasy | Romance | Fiction,https://m.media-amazon.com/images/I/51iML7T0PvL._SL500_.jpg,https://www.amazon.com/dp/B005HIR9VI
B09Q3DNCM1,Good Omens,"Neil Gaiman, Terry Pratchett","Adjoa Andoh, Allan Corduner, Arthur Darvill, Chris Nelson, David Tennant, Ferdinand Frisby Williams, Gabrielle Glaister, Josh Hopkins, Katherine Kingsley, Kobna Holdbrook-Smith, Lemn Sissay, Lorelei King, Louis Davison, Matt Reeves, Michael Sheen",734,12.23,20.31,5.0,15,3.01,1.66,1.36,Yes,Fantasy | Humor | Fiction,https://m.media-amazon.com/images/I/51QEc1B+aoL._SL500_.jpg,https://www.amazon.com/dp/B09Q3DNCM1
0008433844,The Hobbit,J.R.R. Tolkien,Andy Serkis,600,10.00,15.99,4.8,64500,3.00,1.60,1.07,Yes,Fantasy | Classic | Fiction,https://m.media-amazon.com/images/I/51J-2rThQ9L._SL500_.jpg,https://www.amazon.com/dp/0008433844
B082BHJMFF,The Martian,Andy Weir,R.C. Bray,684,11.40,17.99,4.7,78300,2.98,1.58,1.20,Yes,Science Fiction | Adventure | Fiction,https://m.media-amazon.com/images/I/414J3xG+7+L._SL500_.jpg,https://www.amazon.com/dp/B082BHJMFF
B00A4OPH0U,Mastery,Robert Greene,Fred Sanders,969,16.15,24.46,4.5,891,2.97,1.51,1.64,Yes,Self-Help | Business | Psychology,https://m.media-amazon.com/images/I/41y9IkSGfwL._SL500_.jpg,https://www.amazon.com/dp/B00A4OPH0U
B0773W3MZW,The Woman in the Window,A.J. Finn,Ann Marie Lee,660,11.00,15.99,4.3,24600,2.96,1.45,1.07,Yes,Thriller | Mystery | Fiction,https://m.media-amazon.com/images/I/5177BkBe6IL._SL500_.jpg,https://www.amazon.com/dp/B0773W3MZW
1984845306,Daisy Jones & The Six,Taylor Jenkins Reid,Full Cast,540,9.00,13.99,4.6,38200,2.96,1.55,0.94,No,Historical Fiction | Literary Fiction | Fiction,https://m.media-amazon.com/images/I/51eGdX9H7eL._SL500_.jpg,https://www.amazon.com/dp/1984845306
1984845349,Malibu Rising,Taylor Jenkins Reid,Julia Whelan,600,10.00,14.99,4.4,18900,2.94,1.50,1.00,Yes,Literary Fiction | Historical Fiction | Fiction,https://m.media-amazon.com/images/I/51AOAZMD37L._SL500_.jpg,https://www.amazon.com/dp/1984845349
B002V1O7D2,Old Man's War,John Scalzi,William Dufris,595,9.92,15.19,4.5,1522,2.94,1.53,1.02,Yes,Science Fiction | Space Opera | Fiction,https://m.media-amazon.com/images/I/5101IFXo3+L._SL500_.jpg,https://www.amazon.com/dp/B002V1O7D2
B01N2PF84R,The Bear and the Nightingale,Katherine Arden,Kathleen Gati,708,11.80,18.16,4.5,648,2.92,1.54,1.21,Yes,Fantasy | Historical Fiction | Fiction,https://m.media-amazon.com/images/I/51WxjilZBBL._SL500_.jpg,https://www.amazon.com/dp/B01N2PF84R
B002V57VRC,Children of Dune,Frank Herbert,"Scott Brick, Simon Vance, cast",660,11.00,16.99,4.5,16800,2.91,1.54,1.14,Yes,Science Fiction | Classic | Fiction,https://m.media-amazon.com/images/I/51Vi0xHNn8L._SL500_.jpg,https://www.amazon.com/dp/B002V57VRC
B00NUA927Y,Callie & Rebecca,Janet Whitehead,,960,16.00,22.65,4.1,3202,2.90,1.42,1.52,Yes,Mystery | Classic | Fiction,,https://www.amazon.com/dp/B00NUA927Y
B01CRM17MS,Shoe Dog,Phil Knight,Norbert Leo Butz,801,13.35,23.11,5.0,3969,2.89,1.73,1.55,Yes,Business | Memoir | Biography,https://m.media-amazon.com/images/I/51SGjt9pPlL._SL500_.jpg,https://www.amazon.com/dp/B01CRM17MS
B003UDDK7O,Good to Great,Jim Collins,Jim Collins,600,10.00,15.99,4.6,15600,2.88,1.60,1.07,Yes,Business | Non-Fiction,https://m.media-amazon.com/images/I/41tCQsn8UGL._SL500_.jpg,https://www.amazon.com/dp/B003UDDK7O
B007WU26KI,Bring Up the Bodies,Hilary Mantel,Simon Vance,874,14.57,22.96,4.5,145,2.85,1.58,1.54,Yes,Historical Fiction | Fiction | Biography,https://m.media-amazon.com/images/I/51Y6UvnW+CL._SL500_.jpg,https://www.amazon.com/dp/B007WU26KI
FINAL_0004,The Republic,Plato,,600,10.00,14.85,4.2,3374,2.83,1.49,0.99,No,Non-Fiction | Philosophy | Classic,,
FINAL_0002,The Rise and Fall of the Third Reich,William L. Shirer,,720,12.00,17.89,4.2,765,2.82,1.49,1.20,Yes,Non-Fiction | History | Biography,,
B002V8H660,Dune Messiah,Frank Herbert,"Scott Brick, Katherine Kellgren, cast",600,10.00,15.99,4.4,19300,2.75,1.60,1.07,Yes,Science Fiction | Classic | Fiction,https://m.media-amazon.com/images/I/41dcXp9bIoL._SL500_.jpg,https://www.amazon.com/dp/B002V8H660
8420439258,The Silent Patient,Alex Michaelides,"Jack Hawkins, Louise Brealey",510,8.50,13.99,4.5,48300,2.73,1.65,0.94,No,Thriller | Mystery | Fiction,https://m.media-amazon.com/images/I/41nbn2tr6hL._SL500_.jpg,https://www.amazon.com/dp/8420439258
B01D3AC5BA,Grit: The Power of Passion and Perseverance,Angela Duckworth,Angela Duckworth,540,9.00,14.99,4.5,16700,2.70,1.67,1.00,Yes,Psychology | Self-Help | Non-Fiction,https://m.media-amazon.com/images/I/51l+lXgYBqL._SL500_.jpg,https://www.amazon.com/dp/B01D3AC5BA
B0F1DLYWH3,Elantris: Tenth Anniversary Author's Definitive Edition (1 of 2) [Dramatized Adaptation],Brandon Sanderson,"Full Cast, James Konicek, Danny Gavigan, Jenna Sharpe, Thomas Penny, Richard Rohan, Mort Shelby, Steven Carpenter, Wyn Delano, Christopher Williams, Anthony Palmini, Megan Dominy",805,13.42,22.35,4.5,7,2.70,1.67,1.49,Yes,Fantasy | Epic Fantasy | Fiction,https://m.media-amazon.com/images/I/51bDr6f5ggL._SL500_.jpg,https://www.amazon.com/dp/B0F1DLYWH3
FINAL_0005,Beyond Good and Evil,Friedrich Nietzsche,,660,11.00,17.52,4.3,2068,2.70,1.59,1.17,Yes,Non-Fiction | Philosophy | Classic,,
FINAL_0009,Delivering Happiness,Tony Hsieh,,660,11.00,16.69,4.1,2170,2.70,1.52,1.12,Yes,Business | Memoir | Self-Help,,
B003IEQE1Y,Anne Frank: The Diary of a Young Girl,Anne Frank,Selma Blair,595,9.92,18.62,5.0,534,2.66,1.88,1.25,Yes,Biography | Memoir | History,https://m.media-amazon.com/images/I/51FeSmUzbRL._SL500_.jpg,https://www.amazon.com/dp/B003IEQE1Y
B004XMPFLK,Divergent,Veronica Roth,Emma Galvin,671,11.18,18.96,4.5,1594,2.65,1.70,1.27,Yes,Young Adult | Dystopian | Fiction,https://m.media-amazon.com/images/I/51uSr26fdJL._SL500_.jpg,https://www.amazon.com/dp/B004XMPFLK
B0055DNUZ4,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,Jesse Bernstein,582,9.70,16.53,4.5,1139,2.64,1.70,1.11,Yes,Young Adult | Fantasy | Fiction,https://m.media-amazon.com/images/I/51YXA41NbwL._SL500_.jpg,https://www.amazon.com/dp/B0055DNUZ4
B003D8W5VS,Foundation,Isaac Asimov,Scott Brick,510,8.50,14.99,4.5,34800,2.55,1.76,1.00,Yes,Science Fiction | Classic | Fiction,https://m.media-amazon.com/images/I/61iNtg+iyIL._SL500_.jpg,https://www.amazon.com/dp/B003D8W5VS
B002V5CW08,Robinson Crusoe,Daniel Defoe,Simon Vance,610,10.17,17.99,4.5,257,2.54,1.77,1.20,Yes,Fiction | Classic | Adventure,https://m.media-amazon.com/images/I/51iuWNwD72L._SL500_.jpg,https://www.amazon.com/dp/B002V5CW08
B00B28TI48,In the Blink of an Eye,Wendy Corsi Staub,Allyson Ryan,756,12.60,22.56,4.5,11,2.51,1.79,1.51,Yes,Non-Fiction | Psychology | Business,https://m.media-amazon.com/images/I/510QsqNpnNL._SL500_.jpg,https://www.amazon.com/dp/B00B28TI48
B0FD4CV4BF,The Power of Habit,Charles Duhigg,Mike Chamberlain,600,10.00,17.99,4.5,28400,2.50,1.80,1.20,Yes,Self-Help | Business | Psychology | Non-Fiction,https://m.media-amazon.com/images/I/41rjlWslqlL._SL500_.jpg,https://www.amazon.com/dp/B0FD4CV4BF
B002VAA6ZQ,Twilight,Stephenie Meyer,Ilyana Kadushin,771,12.85,23.14,4.5,1352,2.50,1.80,1.55,Yes,Young Adult | Romance | Fantasy,https://m.media-amazon.com/images/I/41B-yIDjlHL._SL500_.jpg,https://www.amazon.com/dp/B002VAA6ZQ
B00BIKAVHS,World War Z: The Complete Edition,Max Brooks,Various,729,12.15,22.07,4.5,1952,2.48,1.82,1.48,Yes,Horror | Apocalyptic | Fiction,https://m.media-amazon.com/images/I/51XIFVj++8L._SL500_.jpg,https://www.amazon.com/dp/B00BIKAVHS
9500763729,How to Win Friends and Influence People,Dale Carnegie,Andrew MacMillan,480,8.00,14.99,4.6,48200,2.45,1.87,1.00,Yes,Self-Help | Business | Non-Fiction,https://m.media-amazon.com/images/I/51ZtBjSuKQL._SL500_.jpg,https://www.amazon.com/dp/9500763729
B002V1LGZE,The E-Myth Revisited,Michael E. Gerber,Michael E. Gerber,480,8.00,14.99,4.6,12400,2.45,1.87,1.00,Yes,Business | Non-Fiction,https://m.media-amazon.com/images/I/51oeJ1g3rmL._SL500_.jpg,https://www.amazon.com/dp/B002V1LGZE
B0H8ZLNCLY,Deep Work,Cal Newport,Jeff Bottoms,480,8.00,14.99,4.6,17900,2.45,1.87,1.00,Yes,Self-Help | Business | Non-Fiction,https://m.media-amazon.com/images/I/4189leLwpkL._SL500_.jpg,https://www.amazon.com/dp/B0H8ZLNCLY
0593291352,Leaders Eat Last,Simon Sinek,Simon Sinek,480,8.00,14.99,4.6,13900,2.45,1.87,1.00,Yes,Business | Non-Fiction,https://m.media-amazon.com/images/I/516OBygEerL._SL500_.jpg,https://www.amazon.com/dp/0593291352
B07DJYBXNC,Dare to Lead,Brene Brown,Brene Brown,480,8.00,14.99,4.6,16700,2.45,1.87,1.00,Yes,Self-Help | Business | Non-Fiction,https://m.media-amazon.com/images/I/41jpUR12hQL._SL500_.jpg,https://www.amazon.com/dp/B07DJYBXNC
0593150422,Mindset: The New Psychology of Success,Carol S. Dweck,Marguerite Gavin,480,8.00,14.99,4.6,18900,2.45,1.87,1.00,Yes,Psychology | Self-Help | Non-Fiction,https://m.media-amazon.com/images/I/41ENTiGcWcL._SL500_.jpg,https://www.amazon.com/dp/0593150422
1797108263,A Man Called Ove,Fredrik Backman,J. K. Simmons,553,9.22,18.92,5.0,2897,2.44,2.05,1.27,Yes,Literary Fiction | Contemporary | Fiction,https://m.media-amazon.com/images/I/51zZCuo3laL._SL500_.jpg,https://www.amazon.com/dp/1797108263
FINAL_0010,David and Goliath,Malcolm Gladwell,,600,10.00,17.38,4.2,2270,2.42,1.74,1.16,Yes,Non-Fiction | Psychology | Business,,
B07LGF8TCJ,Digital Minimalism,Cal Newport,Will Damron,480,8.00,14.99,4.5,11300,2.40,1.87,1.00,Yes,Self-Help | Technology | Non-Fiction,https://m.media-amazon.com/images/I/51KzXfk6-hL._SL500_.jpg,https://www.amazon.com/dp/B07LGF8TCJ
B00VSEM9QK,Rising Strong,Brené Brown,Brené Brown,531,8.85,18.45,5.0,1198,2.40,2.08,1.23,Yes,Self-Help | Psychology | Business,https://m.media-amazon.com/images/I/51SwsjLMjlL._SL500_.jpg,https://www.amazon.com/dp/B00VSEM9QK
B0H5MWSKF4,To the Lighthouse: A Profound Tale of Memory and Loss,Virginia Woolf,Samantha Cheung,427,7.12,14.88,5.0,38,2.39,2.09,1.00,No,Fiction | Classic | Literary Fiction,https://m.media-amazon.com/images/I/51M8gX1jM9L._SL500_.jpg,https://www.amazon.com/dp/B0H5MWSKF4
